,move_st_hr,move_arv_hr,start_place_cd,arv_place_cd,sex_nm,age_grp,popl_cnt
210,2019-09-30 15:00:00,2019-10-01 15:00:00,111595,250397,M,30,2.68
211,2019-09-30 15:00:00,2019-10-01 00:00:00,110063,360041,F,50,3.08
212,2019-09-30 15:00:00,2019-10-01 00:00:00,110224,110190,F,40,3.44
213,2019-09-30 15:00:00,2019-10-01 00:00:00,110436,110497,M,40,3.1
214,2019-09-30 15:00:00,2019-10-01 00:00:00,111687,110178,M,10,4.48
215,2019-09-30 15:00:00,2019-10-01 00:00:00,310025,110137,M,40,3.18
216,2019-09-30 15:00:00,2019-10-01 00:00:00,110411,110352,M,40,3.18
217,2019-09-30 15:00:00,2019-10-01 00:00:00,111200,111199,M,30,2.7
218,2019-09-30 15:00:00,2019-10-01 00:00:00,111213,110138,M,50,3.31
219,2019-09-30 15:00:00,2019-10-01 00:00:00,111316,111456,M,20,2.7
220,2019-09-30 15:00:00,2019-10-01 00:00:00,111411,310966,M,40,3.18
221,2019-09-30 15:00:00,2019-10-01 00:00:00,110103,110090,M,40,3.16
222,2019-09-30 15:00:00,2019-10-01 00:00:00,110432,110427,F,20,2.2
223,2019-09-30 15:00:00,2019-10-01 00:00:00,110915,110982,M,20,2.28
224,2019-09-30 15:00:00,2019-10-01 00:00:00,111067,111138,M,60,3.53
225,2019-09-30 15:00:00,2019-10-01 00:00:00,111416,111416,M,50,3.27
226,2019-09-30 15:00:00,2019-10-01 00:00:00,111704,111616,M,50,3.26
227,2019-09-30 15:00:00,2019-10-01 00:00:00,111725,111757,M,10,4.54
228,2019-09-30 15:00:00,2019-10-01 00:00:00,230027,111053,M,60,3.55
229,2019-09-30 15:00:00,2019-10-01 01:00:00,110047,110049,F,60,4.66
230,2019-09-30 15:00:00,2019-10-01 01:00:00,110287,110897,F,20,2.19
231,2019-09-30 15:00:00,2019-10-01 01:00:00,110481,110620,F,10,4.1
232,2019-09-30 15:00:00,2019-10-01 01:00:00,110715,110809,M,20,2.72
233,2019-09-30 15:00:00,2019-10-01 01:00:00,111353,111392,M,70,6.0
234,2019-09-30 15:00:00,2019-10-01 01:00:00,111415,111297,M,30,2.7
235,2019-09-30 15:00:00,2019-10-01 01:00:00,111428,320352,F,70,5.72
236,2019-09-30 15:00:00,2019-10-01 01:00:00,111432,110222,F,20,2.2
237,2019-09-30 15:00:00,2019-10-01 01:00:00,110629,110629,M,10,6.62
238,2019-09-30 15:00:00,2019-10-01 01:00:00,111705,111649,M,40,3.14
239,2019-09-30 15:00:00,2019-10-01 01:00:00,313096,110978,M,0,36.11
240,2019-09-30 15:00:00,2019-10-01 01:00:00,341119,110880,M,30,2.73
241,2019-09-30 15:00:00,2019-10-01 02:00:00,110162,312257,F,40,3.34
242,2019-09-30 15:00:00,2019-10-01 02:00:00,111539,312016,F,60,3.85
243,2019-09-30 15:00:00,2019-10-01 04:00:00,311952,110967,M,40,3.15
244,2019-09-30 15:00:00,2019-10-01 07:00:00,111729,330053,M,60,3.49
245,2019-09-30 15:00:00,2019-10-01 07:00:00,361461,110744,F,50,3.31
246,2019-09-30 15:00:00,2019-10-01 08:00:00,111300,310762,M,50,3.29
247,2019-09-30 15:00:00,2019-10-01 11:00:00,312809,110918,M,80,9.51
248,2019-09-30 15:00:00,2019-10-01 11:00:00,370372,110146,M,30,2.72
249,2019-09-30 15:00:00,2019-10-01 12:00:00,111740,320487,F,50,3.23
250,2019-09-30 15:00:00,2019-10-01 15:00:00,111764,220549,M,40,3.01
